msn;reg;hex_code;deliv;exit;type_text;type_code;airline;airline_country;airline_type;operator;operator_country;MTOW;MZFW;MZFW_Range;MZFW_Payload;MZFW_Fuel;MFW;MFW_Range;MFW_Payload;MFM_Fuel;OEW;OEW_Range;OEW_Payload;OEW_Fuel;Volume;Category;v_max;k_m;contact;num_last_flights;a_margin;b_margin;c_margin;d_margin;current_location_lat;current_location_long;virtual_base_lat;virtual_base_long;acmi_h;charter_focus;fuel_price_kg;co2_price_kg
32361;HL8355;;2022-06-05 00:00:00;;Boeing 737-800 (SF);B738;Air Seoul;Korea;Cargo;Air Incheon;Korea;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;748.7643206635801;176.3547379365939;http://www.air-incheon.com/en/;25;200.0;5.0;-0.65;17.0;37.4016990662;121.3720016479;36.4274901298282;125.3411378566275;2830.739355341168;1;0.65461;0.10112
32363;LZ-CXC;;2022-06-21 00:00:00;;Boeing 737-800 (SF);B738;Compass Air Cargo;Bulgaria;Cargo;Compass Air Cargo;Bulgaria;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;748.7643206635801;176.3547379365939;https://compasscargo.eu;25;200.0;5.0;-0.65;17.0;51.4323997498;12.2416000366;44.97423154302541;19.838031364013016;2830.739355341168;1;0.65461;0.10112
32577;N7907A;;2020-06-15 00:00:00;;Boeing 737-800 (BCF);B738;Amazon Air;United States;Cargo;Sun Country Airlines;United States;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;779.5692387486687;187.0349077539911;https://www.suncountry.com;25;200.0;5.0;-0.65;17.0;32.9903858333333;-97.3194405555555;36.497214405678974;-88.21337684945601;2830.739355341168;1;0.65461;0.10112
32578;N5479A;;2020-07-21 00:00:00;;Boeing 737-800 (BCF);B738;Amazon Air;United States;Cargo;Sun Country Airlines;United States;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;779.5692387486687;187.0349077539911;https://www.suncountry.com;25;200.0;5.0;-0.65;17.0;39.0488375;-84.6678208333333;40.11754170140699;-89.18365908058287;2830.739355341168;1;0.65461;0.10112
32579;N5209A;;2020-05-19 00:00:00;;Boeing 737-800 (BCF);B738;Amazon Air;United States;Cargo;Sun Country Airlines;United States;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;779.5692387486687;187.0349077539911;https://www.suncountry.com;25;200.0;5.0;-0.65;17.0;37.5051811111111;-77.3197386111111;34.50644982859252;-89.39493794414874;2830.739355341168;1;0.65461;0.10112
32580;OE-IMC;;2018-09-01 00:00:00;;Boeing 737-800 (BCF);B738;ASL Airlines;Ireland;Cargo;ASL Airlines;Ireland;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;779.5692387486687;187.0349077539911;https://www.aslaviationholdings.com/companies/asl-airlines-ireland/;25;200.0;5.0;-0.65;17.0;49.0127983093;2.5499999523;52.72432316655236;8.19960133088556;2830.739355341168;1;0.65461;0.10112
32601;N5683A;;2020-05-13 00:00:00;;Boeing 737-800 (BCF);B738;Amazon Air;United States;Cargo;Sun Country Airlines;United States;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;779.5692387486687;187.0349077539911;https://www.suncountry.com;25;200.0;5.0;-0.65;17.0;44.8819722222222;-93.2217777777778;37.37612233489263;-87.31464674241182;2830.739355341168;1;0.65461;0.10112
32604;EI-AZF;;2022-07-15 00:00:00;;Boeing 737-800 (SF);B738;Amazon Air;United States;Cargo;ASL Airlines;Ireland;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;748.7643206635801;176.3547379365939;https://www.aslaviationholdings.com/companies/asl-airlines-ireland/;25;200.0;5.0;-0.65;17.0;49.0127983093;2.5499999523;49.83078275923373;8.613002723738527;2830.739355341168;1;0.65461;0.10112
32605;N7901A;;2020-06-26 00:00:00;;Boeing 737-800 (BCF);B738;Amazon Air;United States;Cargo;Sun Country Airlines;United States;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;779.5692387486687;187.0349077539911;https://www.suncountry.com;25;200.0;5.0;-0.65;17.0;39.2976111111111;-94.7138888888889;32.538094992374326;-86.67292524821137;2830.739355341168;1;0.65461;0.10112
32606;B-5137;;2021-11-02 00:00:00;;Boeing 737-800 (BCF);B738;China Central Longhao Airlines;China;Cargo;China Central Longhao Airlines;China;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;779.5692387486687;187.0349077539911;https://www.airlonghao.com;25;200.0;5.0;-0.65;17.0;21.221200943;105.8069992065;28.196238129865193;109.73668977085222;2830.739355341168;1;0.65461;0.10112
